cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,be_world,le,le_mu,le_lambda,le_rot,le_world,tp,vp,jaceps,gamma
0001,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0,1,0,true,false,0,0,0.1,0.5
0002,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.0001,1,0,true,false,0,0,0.1,0.5
0003,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.005,1,0,true,false,0,0,0.1,0.5
0004,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.001,1,0,true,false,0,0,0.1,0.5
0005,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.005,1,0,true,false,0,0,0.1,0.5
0006,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.01,1,0,true,false,0,0,0.1,0.5
0007,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.05,1,0,true,false,0,0,0.1,0.5
0008,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.1,1,0,true,false,0,0,0.1,0.5
0009,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,0.5,1,0,true,false,0,0,0.1,0.5
0010,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0,false,1,1,0,true,false,0,0,0.1,0.5
0011,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0,1,0,true,false,0,0,0.1,0.5
0012,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.0001,1,0,true,false,0,0,0.1,0.5
0013,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.005,1,0,true,false,0,0,0.1,0.5
0014,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.001,1,0,true,false,0,0,0.1,0.5
0015,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.005,1,0,true,false,0,0,0.1,0.5
0016,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.01,1,0,true,false,0,0,0.1,0.5
0017,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.05,1,0,true,false,0,0,0.1,0.5
0018,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.1,1,0,true,false,0,0,0.1,0.5
0019,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,0.5,1,0,true,false,0,0,0.1,0.5
0020,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.0001,false,1,1,0,true,false,0,0,0.1,0.5
0021,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0,1,0,true,false,0,0,0.1,0.5
0022,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.0001,1,0,true,false,0,0,0.1,0.5
0023,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.005,1,0,true,false,0,0,0.1,0.5
0024,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.001,1,0,true,false,0,0,0.1,0.5
0025,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.005,1,0,true,false,0,0,0.1,0.5
0026,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.01,1,0,true,false,0,0,0.1,0.5
0027,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.05,1,0,true,false,0,0,0.1,0.5
0028,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.1,1,0,true,false,0,0,0.1,0.5
0029,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,0.5,1,0,true,false,0,0,0.1,0.5
0030,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.005,false,1,1,0,true,false,0,0,0.1,0.5
0031,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0,1,0,true,false,0,0,0.1,0.5
0032,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0.0001,1,0,true,false,0,0,0.1,0.5
0033,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0.005,1,0,true,false,0,0,0.1,0.5
0034,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0.001,1,0,true,false,0,0,0.1,0.5
0035,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0.005,1,0,true,false,0,0,0.1,0.5
0036,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,3,500,20,2,10,0,NMI,64,false,5,2.5,0.001,false,0.01,1,0,true,false,0,0,0.1,0.5
